Provinsi_Clean,Tahun,Persentase_Penduduk_Miskin,IPM,Rata_Rata_Lama_Sekolah,IPM_Norm,RLS_Norm,Prediksi_Kemiskinan_AI,Score_Poverty,Score_IPM_Inv,Score_RLS_Inv,Skor_Prioritas_Bansos
BENGKULU,2023,14.04,72.78,9.03,0.5450530035335692,0.49173553719008245,12.241799999999987,0.43931837073981694,0.4549469964664308,0.5082644628099175,0.45779617687182117
BENGKULU,2024,13.56,73.39,9.04,0.5719964664310955,0.4938016528925617,11.303199999999986,0.4193682460515378,0.4280035335689045,0.5061983471074383,0.43932485251792786
DI YOGYAKARTA,2019,11.7,79.99,9.38,0.8635159010600706,0.5640495867768598,11.432700000000011,0.3420615128844554,0.1364840989399294,0.4359504132231402,0.29916606876883456
DI YOGYAKARTA,2020,12.28,79.97,9.55,0.8626325088339226,0.5991735537190084,12.003499999999992,0.36616791354945954,0.13736749116607738,0.4008264462809916,0.3044594933807513
DI YOGYAKARTA,2021,12.8,80.22,9.64,0.8736749116607774,0.6177685950413225,12.483699999999985,0.3877805486284288,0.12632508833922262,0.38223140495867747,0.3082340818077167
DI YOGYAKARTA,2022,11.34,80.64,9.75,0.8922261484098941,0.640495867768595,11.283499999999998,0.327098919368246,0.10777385159010588,0.359504132231405,0.26778244160743575
DI YOGYAKARTA,2023,11.04,81.07,9.83,0.9112190812720846,0.6570247933884297,10.74279999999999,0.3146300914380714,0.08878091872791538,0.3429752066115703,0.2525443626597244
DI YOGYAKARTA,2024,10.83,81.55,9.92,0.9324204946996466,0.6756198347107436,10.174700000000005,0.30590191188694926,0.06757950530035339,0.3243801652892564,0.23810084059143194
DKI JAKARTA,2019,3.47,80.76,11.06,0.8975265017667851,0.9111570247933887,4.117900000000003,0.0,0.10247349823321494,0.08884297520661133,0.04851064451128675
DKI JAKARTA,2020,4.53,80.77,11.13,0.8979681978798588,0.925619834710744,4.532099999999997,0.04405652535328344,0.10203180212014118,0.07438016528925595,0.06751383637053526
DKI JAKARTA,2021,4.72,81.11,11.17,0.9129858657243819,0.9338842975206612,4.639200000000005,0.051953449709060656,0.0870141342756181,0.06611570247933884,0.06530410563308353
DKI JAKARTA,2022,4.69,81.65,11.31,0.9368374558303891,0.9628099173553719,4.7116,0.05070656691604322,0.06316254416961087,0.037190082644628086,0.05174006323783049
DKI JAKARTA,2023,4.44,82.46,11.45,0.9726148409893991,0.9917355371900827,4.4968,0.040315876974231085,0.0273851590106009,0.008264462809917328,0.030026378752279276
DKI JAKARTA,2024,4.3,83.08,11.49,1.0,1.0000000000000002,4.446400000000004,0.03449709060681627,0.0,-2.220446049250313e-16,0.01724854530340809
GORONTALO,2019,15.52,68.49,7.69,0.35556537102473484,0.2148760330578514,13.686999999999996,0.5008312551953449,0.6444346289752652,0.7851239669421486,0.6007708096786817
GORONTALO,2020,15.22,68.68,7.82,0.36395759717314524,0.24173553719008267,13.749700000000013,0.4883624272651703,0.6360424028268548,0.7582644628099173,0.586646827042625
GORONTALO,2021,15.61,69.0,7.9,0.37809187279151946,0.25826446280991755,14.849399999999985,0.5045719035743972,0.6219081272084805,0.7417355371900825,0.5872054973877592
GORONTALO,2022,15.42,69.81,8.02,0.4138692579505303,0.2830578512396693,14.595400000000007,0.49667497921862,0.5861307420494697,0.7169421487603307,0.567565141976217
GORONTALO,2023,15.15,70.45,8.1,0.44213780918727963,0.29958677685950397,13.827700000000014,0.4854530340814629,0.5578621908127204,0.700413223140496,0.5501678189126468
GORONTALO,2024,14.57,71.23,8.29,0.4765901060070674,0.33884297520661133,12.339300000000005,0.46134663341645876,0.5234098939929326,0.6611570247933887,0.5199276898647869
JAMBI,2019,7.6,71.26,8.45,0.47791519434629004,0.37190082644628086,7.6594000000000095,0.17165419783873645,0.52208480565371,0.6280991735537191,0.36807237532622505
JAMBI,2020,7.58,71.29,8.55,0.47924028268551266,0.3925619834710745,7.427000000000005,0.1708229426433915,0.5207597173144873,0.6074380165289255,0.36312698982182706
JAMBI,2021,8.09,71.63,8.6,0.4942579505300353,0.4028925619834711,7.719199999999994,0.19201995012468823,0.5057420494699647,0.5971074380165289,0.3671540775066393
