Provinsi,Tahun,Persentase_Penduduk_Miskin,IPM,Rata_Rata_Lama_Sekolah,IPM_Norm,RLS_Norm,Prediksi_Kemiskinan_AI,Score_Poverty,Score_IPM_Inv,Score_RLS_Inv,Skor_Prioritas_Bansos
JAMBI,2024,7.1,73.43,8.9,0.6746459878624413,0.6442307692307692,7.851200000000006,0.1230508474576271,0.32535401213755866,0.35576923076923084,0.2302854735239273
JAWA BARAT,2019,6.91,72.03,8.37,0.6274443695212406,0.5714285714285712,7.680600000000004,0.11661016949152542,0.3725556304787594,0.4285714285714288,0.2557860596036763
JAWA BARAT,2020,7.88,72.09,8.55,0.6294672960215781,0.5961538461538463,8.031199999999997,0.14949152542372882,0.37053270397842186,0.40384615384615374,0.26667480467462173
JAWA BARAT,2021,8.4,72.45,8.61,0.6416048550236011,0.6043956043956042,7.4955999999999925,0.1671186440677966,0.3583951449763989,0.39560439560439575,0.27019874464769716
JAWA BARAT,2022,8.06,73.12,8.78,0.6641942009440325,0.6277472527472525,7.651399999999991,0.15559322033898307,0.3358057990559675,0.3722527472527475,0.2529888993368313
JAWA BARAT,2023,7.62,73.74,8.83,0.6850977747808493,0.6346153846153846,7.6762,0.1406779661016949,0.3149022252191507,0.3653846153846154,0.23788657369351573
JAWA BARAT,2024,7.46,74.43,8.87,0.7083614295347271,0.6401098901098898,6.939799999999998,0.1352542372881356,0.29163857046527286,0.35989010989011017,0.22709671176167168
JAWA TENGAH,2019,10.8,71.73,7.53,0.6173297370195552,0.456043956043956,10.769099999999986,0.24847457627118644,0.3826702629804448,0.543956043956044,0.34782957582093543
JAWA TENGAH,2020,11.41,71.87,7.69,0.6220498988536749,0.4780219780219781,11.223299999999993,0.26915254237288133,0.3779501011463251,0.5219780219780219,0.3523569059259426
JAWA TENGAH,2021,11.79,72.16,7.75,0.6318273769386378,0.4862637362637361,11.549299999999986,0.28203389830508474,0.3681726230613622,0.5137362637362639,0.3542159888182038
JAWA TENGAH,2022,10.93,72.79,7.93,0.6530681051921781,0.510989010989011,10.815199999999987,0.2528813559322034,0.34693189480782194,0.48901098901098905,0.32832244421064605
JAWA TENGAH,2023,10.77,73.39,8.01,0.6732973701955494,0.5219780219780219,10.523799999999994,0.24745762711864402,0.32670262980445064,0.4780219780219781,0.31734399810505287
JAWA TENGAH,2024,10.47,73.88,8.02,0.6898179366149695,0.5233516483516483,10.22250000000001,0.23728813559322035,0.3101820633850305,0.47664835164835173,0.30702835714178967
JAWA TIMUR,2019,10.37,71.5,7.59,0.609575185434929,0.4642857142857142,10.179300000000001,0.2338983050847457,0.39042481456507105,0.5357142857142858,0.34121945405475135
JAWA TIMUR,2020,11.09,71.71,7.78,0.6166554281861092,0.4903846153846154,10.881499999999996,0.25830508474576275,0.3833445718138908,0.5096153846153846,0.3460789908401255
JAWA TIMUR,2021,11.4,72.14,7.88,0.6311530681051922,0.5041208791208791,11.260699999999993,0.2688135593220339,0.3688469318948078,0.4958791208791209,0.34423668340528346
JAWA TIMUR,2022,10.38,72.75,8.03,0.6517194875252865,0.5247252747252746,9.321299999999997,0.23423728813559322,0.3482805124747135,0.47527472527472536,0.3166577428651557
JAWA TIMUR,2023,10.35,73.38,8.11,0.6729602157788264,0.5357142857142856,9.35030000000001,0.2332203389830508,0.32703978422117364,0.4642857142857144,0.3075792476150204
